Recombinant ternary DES;Profile-Hydrogen donor;Profile-Hydrogen accept;LCCs interaction potential;Cosmovolume;Density;Solubility (log);Formula weight;Viscosity (In);Time;Temperature;Predicted delignification
cholinechloride[1]benzoicacid[5]propanediol[1];  0.0126712857142857;  0.0128338571428571;  -19.423754;  141.147943723333;  1.01171089;  -1.08490641333333;  85.99672;  -15.791321538227;  2;  120;  62.72
cholinechloride[1]benzoicacid[5]xylitol[1];  0.0143024285714286;  0.0153987142857143;  -18.97678;  154.175444653333;  1.06274185;  -1.19501021444444;  98.6719933333333;  -11.5650797735166;  2;  120;  63.62
cholinechloride[1]citricacid[2]benzylalcohol[1];  0.006555;  0.010896;  -18.294828;  225.21861212;  1.16495676;  -2.49165801222222;  158.0028775;  14.4725808472768;  2;  120;  45.62
cholinechloride[1]citricacid[2]butanediol[1];  0.0133865;  0.0214165;  -17.6699;  219.8031408225;  1.15963063;  -2.75971690222222;  153.4986225;  15.000036144874;  2;  120;  38.74
cholinechloride[1]citricacid[2]glycerol[1];  0.016873;  0.029004;  -17.190578;  213.5356855125;  1.19750202;  -3.04826546444444;  153.9918125;  17.151945770217;  2;  120;  35.4
cholinechloride[1]citricacid[2]glycol[1];  0.0114805;  0.0206165;  -17.254078;  204.5657189075;  1.1890777;  -3.08647636111111;  146.485285;  14.7679964647967;  2;  120;  35.96
cholinechloride[1]citricacid[2]propanediol[1];  0.0136395;  0.0220195;  -17.392094;  211.9038876975;  1.17537955;  -2.95949390555556;  149.991955;  14.7721866362207;  2;  120;  36.16
cholinechloride[1]citricacid[2]xylitol[1];  0.0250575;  0.0399735;  -17.214586;  232.0579555725;  1.20934951;  -3.02086449222222;  169.0048625;  22.3190469303464;  2;  120;  51.83
cholinechloride[1]citricacid[5]benzylalcohol[1];  0.0143456428571429;  0.0148516428571429;  -19.267158;  222.740102786667;  1.12121612;  -2.48078675888889;  150.396821666667;  28.6307449505205;  2;  120;  52.88
cholinechloride[1]citricacid[5]butanediol[1];  0.0197406428571428;  0.0105756428571429;  -18.873046;  154.155401275;  1.25301556;  -2.65248957666667;  116.32314;  28.975275189747;  2;  120;  64.26
cholinechloride[1]citricacid[5]glycerol[1];  0.0127145;  0.0122867857142857;  -18.651714;  209.712601858333;  1.09050199;  -2.80820994333333;  137.721548333333;  30.0917222220321;  2;  120;  47.59
cholinechloride[1]citricacid[5]glycol[1];  0.0131764285714286;  0.0132845714285714;  -18.710114;  210.768894648333;  1.10604535;  -2.81583006444444;  140.38812;  28.8687274855501;  2;  120;  47.56
cholinechloride[1]citricacid[5]propanediol[1];  0.0198638571428571;  0.0166365;  -18.737584;  178.3951405;  1.1513671;  -2.76027938777778;  123.693746666667;  28.8595553073209;  2;  120;  38.35
cholinechloride[1]citricacid[5]xylitol[1];  0.0126783571428571;  0.0122006428571428;  -18.606918;  214.758052113333;  1.08295815;  -2.81331723777778;  140.059328333333;  32.7612651225978;  2;  120;  49.87
cholinechloride[1]formicacid[2]benzylalcohol[1];  0.006555;  0.010896;  -16.956024;  140.6248663875;  1.00315559;  -1.48252786222222;  84.95351;  -1.85591004919924;  2;  120;  69.31
cholinechloride[1]formicacid[2]butanediol[1];  0.0133865;  0.0214165;  -16.081632;  135.20939509;  0.98801663;  -1.91099422;  80.4492575;  -1.328454751602;  2;  120;  67.03
cholinechloride[1]formicacid[2]glycerol[1];  0.016873;  0.029004;  -14.954236;  128.9419397775;  1.04239234;  -2.42139537666667;  80.942445;  0.823454873740967;  2;  120;  49.31
cholinechloride[1]formicacid[2]glycol[1];  0.0114805;  0.0206165;  -14.989626;  119.9719731725;  1.01643082;  -2.42356433444444;  73.43592;  -1.56049443167933;  2;  120;  66.95
cholinechloride[1]formicacid[2]propanediol[1];  0.0136395;  0.0220195;  -15.344842;  127.310141965;  1.00358203;  -2.25966069888889;  76.9425875;  -1.55630426025532;  2;  120;  64.97
cholinechloride[1]formicacid[2]xylitol[1];  0.0250575;  0.0399735;  -15.008192;  147.4642098375;  1.08051879;  -2.56203091444444;  95.9554975;  5.99055603387041;  2;  120;  53.36
cholinechloride[1]formicacid[5]benzylalcohol[1];  0.0151013571428571;  0.0110123571428571;  -17.864662;  124.789440226667;  1.05986007;  -1.48528462333333;  79.64844;  4.92404287629875;  2;  120;  55.45
cholinechloride[1]formicacid[5]butanediol[1];  0.0160772857142857;  0.0125152857142857;  -17.137984;  121.277588885;  1.0494356;  -1.78005464666667;  76.645605;  5.26857311552527;  2;  120;  51.27
cholinechloride[1]formicacid[5]glycerol[1];  0.0165753571428571;  0.0135992142857143;  -16.58449;  117.28843142;  1.08978345;  -2.03335867444444;  76.9743966666667;  6.38502014781039;  2;  120;  53.01
cholinechloride[1]formicacid[5]glycol[1];  0.015805;  0.012401;  -16.664286;  111.52944933;  1.07154723;  -2.00377155666667;  71.9700466666667;  5.16202541132843;  2;  120;  49.65
cholinechloride[1]formicacid[5]propanediol[1];  0.0161134285714286;  0.0126014285714286;  -16.834652;  116.232138628333;  1.06159146;  -1.93179676666667;  74.307825;  5.15285323309918;  2;  120;  50.1
cholinechloride[1]formicacid[5]xylitol[1];  0.0177445714285714;  0.0151662857142857;  -16.523574;  129.259639558333;  1.1174318;  -2.13093976888889;  86.9830983333333;  9.05456304837607;  2;  120;  62.48
cholinechloride[1]glutaricacid[2]benzylalcohol[1];  0.006555;  0.010896;  -16.90758;  200.8095772825;  1.05844674;  -1.33574080111111;  127.9983425;  8.80643475946245;  2;  120;  39.06
cholinechloride[1]glutaricacid[2]butanediol[1];  0.0133865;  0.0214165;  -16.455042;  195.394105985;  1.04950327;  -1.56305683888889;  123.4940875;  9.33389005705969;  2;  120;  33.67
